exercise_id,canonical_name,aliases,primary_muscle_group,secondary_muscle_groups,category,equipment
dumbbell_row,Dumbbell Row,dumbbell row|db row|one arm row,back,biceps,compound,dumbbell
seated_cable_row,Seated Cable Row,seated row|cable row|seated cable row,back,biceps,compound,cable
t_bar_row,T-Bar Row,t bar row|t-bar row|tbar row,back,biceps,compound,machine
face_pull,Face Pull,face pull,shoulders,back,isolation,cable
barbell_shrug,Barbell Shrug,shrug|barbell shrug,back,,isolation,barbell
dumbbell_shrug,Dumbbell Shrug,db shrug|dumbbell shrug,back,,isolation,dumbbell
barbell_curl,Barbell Curl,barbell curl|bb curl|bicep curl,biceps,,isolation,barbell
dumbbell_curl,Dumbbell Curl,dumbbell curl|db curl,biceps,,isolation,dumbbell
hammer_curl,Hammer Curl,hammer curl,biceps,,isolation,dumbbell
preacher_curl,Preacher Curl,preacher curl,biceps,,isolation,barbell
incline_dumbbell_curl,Incline Dumbbell Curl,incline curl|incline db curl,biceps,,isolation,dumbbell
cable_curl,Cable Curl,cable curl,biceps,,isolation,cable
tricep_pushdown,Tricep Pushdown,tricep pushdown|pushdown|cable pushdown,triceps,,isolation,cable
skull_crusher,Skull Crusher,skull crusher|skullcrusher|lying tricep extension,triceps,,isolation,barbell
overhead_tricep_extension,Overhead Tricep Extension,overhead tricep extension|oh tri ext|french press,triceps,,isolation,dumbbell
tricep_kickback,Tricep Kickback,kickback|tricep kickback,triceps,,isolation,dumbbell
lateral_raise,Lateral Raise,lateral raise|side raise|lat raise|db lateral,shoulders,,isolation,dumbbell
front_raise,Front Raise,front raise,shoulders,,isolation,dumbbell
rear_delt_fly,Rear Delt Fly,rear delt fly|rear delt raise|reverse fly,shoulders,back,isolation,dumbbell
upright_row,Upright Row,upright row,shoulders,back,compound,barbell
dumbbell_fly,Dumbbell Fly,dumbbell fly|db fly|chest fly,chest,,isolation,dumbbell
cable_fly,Cable Fly,cable fly|cable crossover,chest,,isolation,cable
pec_deck,Pec Deck,pec deck|machine fly,chest,,isolation,machine
plank,Plank,plank,core,,isolation,bodyweight
sit_up,Sit Up,sit up|situp|sit-up,core,,isolation,bodyweight
hanging_leg_raise,Hanging Leg Raise,hanging leg raise|leg raise,core,,isolation,bodyweight
cable_crunch,Cable Crunch,cable crunch,core,,isolation,cable
russian_twist,Russian Twist,russian twist,core,,isolation,bodyweight
ab_rollout,Ab Rollout,ab rollout|rollout,core,,isolation,bodyweight
weighted_sit_up,Weighted Sit Up,weighted sit up,core,,isolation,bodyweight
power_clean,Power Clean,power clean|clean,quads,hamstrings|glutes|back|shoulders|core,compound,barbell
hang_clean,Hang Clean,hang clean,quads,hamstrings|glutes|back|shoulders|core,compound,barbell
clean_and_jerk,Clean and Jerk,clean and jerk|c&j,quads,hamstrings|glutes|back|shoulders|triceps|core,compound,barbell
snatch,Snatch,snatch|power snatch,quads,hamstrings|glutes|back|shoulders|core,compound,barbell
push_jerk,Push Jerk,push jerk,shoulders,quads|triceps|core,compound,barbell
cable_lateral_raise,Cable Lateral Raise,cable lateral raise|cable side raise,shoulders,,isolation,cable
reverse_pec_deck,Reverse Pec Deck,reverse pec deck,shoulders,back,isolation,machine
machine_row,Machine Row,machine row|seated machine row,back,biceps,compound,machine
